rounds\state,1,3,9,13,15
1,1,3,9,13,15
4,1,3,9,13,15
5,1,3,9,13,15
6,1,3,9,13,15
12,1,3,9,13,15
24,1,3,9,13,15
28,1,3,9,13,15
38,1,3,9,13,15
42,1,3,9,13,15
43,1,3,9,13,15
45,1,3,9,13,15
46,1,3,9,13,15
51,1,3,9,13,15
56,1,3,9,13,15
61,1,3,9,13,15
66,1,3,9,13,15
70,1,3,9,13,15
71,1,3,9,13,15
79,1,3,9,13,15
80,1,3,9,13,15
81,1,3,9,13,15
89,1,3,9,13,15
91,1,3,9,13,15
94,1,3,9,13,15
110,1,3,9,13,15
111,1,3,9,13,15
114,1,3,9,13,15
115,1,3,9,13,15
118,1,3,9,13,15
124,1,3,9,13,15
126,1,3,9,13,15
129,1,3,9,13,15
132,1,3,9,13,15
145,1,3,9,13,15
148,1,3,9,13,15
166,1,3,9,13,15
173,1,3,9,13,15
177,1,3,9,13,15
181,1,3,9,13,15
193,1,3,9,13,15
8,1,3,9,13,15
15,1,3,9,13,15
21,1,3,9,13,15
23,1,3,9,13,15
25,1,3,9,13,15
35,1,3,9,13,15
36,1,3,9,13,15
39,1,3,9,13,15
41,1,3,9,13,15
46,1,3,9,13,15
48,1,3,9,13,15
51,1,3,9,13,15
55,1,3,9,13,15
56,1,3,9,13,15
57,1,3,9,13,15
79,1,3,9,13,15
81,1,3,9,13,15
89,1,3,9,13,15
91,1,3,9,13,15
98,1,3,9,13,15
110,1,3,9,13,15
112,1,3,9,13,15
113,1,3,9,13,15
114,1,3,9,13,15
118,1,3,9,13,15
119,1,3,9,13,15
121,1,3,9,13,15
132,1,3,9,13,15
133,1,3,9,13,15
142,1,3,9,13,15
152,1,3,9,13,15
157,1,3,9,13,15
160,1,3,9,13,15
166,1,3,9,13,15
174,1,3,9,13,15
182,1,3,9,13,15
183,1,3,9,13,15
185,1,3,9,13,15
189,1,3,9,13,15
196,1,3,9,13,15
10,1,3,9,13,15
11,1,3,9,13,15
15,1,3,9,13,15
20,1,3,9,13,15
41,1,3,9,13,15
53,1,3,9,13,15
60,1,3,9,13,15
62,1,3,9,13,15
65,1,3,9,13,15
66,1,3,9,13,15
72,1,3,9,13,15
73,1,3,9,13,15
76,1,3,9,13,15
81,1,3,9,13,15
82,1,3,9,13,15
83,1,3,9,13,15
84,1,3,9,13,15
85,1,3,9,13,15
99,1,3,9,13,15
108,1,3,9,13,15
112,1,3,9,13,15
117,1,3,9,13,15
118,1,3,9,13,15
121,1,3,9,13,15
124,1,3,9,13,15
142,1,3,9,13,15
144,1,3,9,13,15
145,1,3,9,13,15
151,1,3,9,13,15
153,1,3,9,13,15
154,1,3,9,13,15
161,1,3,9,13,15
162,1,3,9,13,15
163,1,3,9,13,15
168,1,3,9,13,15
171,1,3,9,13,15
172,1,3,9,13,15
173,1,3,9,13,15
182,1,3,9,13,15
191,1,3,9,13,15
1,1,3,9,13,15
5,1,3,9,13,15
11,1,3,9,13,15
16,1,3,9,13,15
21,1,3,9,13,15
26,1,3,9,13,15
32,1,3,9,13,15
40,1,3,9,13,15
46,1,3,9,13,15
69,1,3,9,13,15
72,1,3,9,13,15
80,1,3,9,13,15
88,1,3,9,13,15
90,1,3,9,13,15
92,1,3,9,13,15
97,1,3,9,13,15
100,1,3,9,13,15
105,1,3,9,13,15
116,1,3,9,13,15
120,1,3,9,13,15
127,1,3,9,13,15
130,1,3,9,13,15
131,1,3,9,13,15
132,1,3,9,13,15
133,1,3,9,13,15
144,1,3,9,13,15
149,1,3,9,13,15
154,1,3,9,13,15
155,1,3,9,13,15
164,1,3,9,13,15
167,1,3,9,13,15
168,1,3,9,13,15
169,1,3,9,13,15
170,1,3,9,13,15
176,1,3,9,13,15
178,1,3,9,13,15
188,1,3,9,13,15
191,1,3,9,13,15
192,1,3,9,13,15
193,1,3,9,13,15
2,1,3,9,13,15
9,1,3,9,13,15
10,1,3,9,13,15
20,1,3,9,13,15
25,1,3,9,13,15
33,1,3,9,13,15
36,1,3,9,13,15
42,1,3,9,13,15
45,1,3,9,13,15
55,1,3,9,13,15
59,1,3,9,13,15
60,1,3,9,13,15
68,1,3,9,13,15
69,1,3,9,13,15
74,1,3,9,13,15
83,1,3,9,13,15
84,1,3,9,13,15
87,1,3,9,13,15
90,1,3,9,13,15
92,1,3,9,13,15
101,1,3,9,13,15
105,1,3,9,13,15
110,1,3,9,13,15
111,1,3,9,13,15
115,1,3,9,13,15
119,1,3,9,13,15
126,1,3,9,13,15
145,1,3,9,13,15
147,1,3,9,13,15
150,1,3,9,13,15
151,1,3,9,13,15
154,1,3,9,13,15
162,1,3,9,13,15
164,1,3,9,13,15
165,1,3,9,13,15
171,1,3,9,13,15
174,1,3,9,13,15
176,1,3,9,13,15
178,1,3,9,13,15
180,1,3,9,13,15
